t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
14750,0.9548,0.0452,0.0,94.73972104525272,0.011405723699491806,1.686779661016949e-05,3.8334199593219775
15000,0.9548,0.0452,0.0,94.74217418165077,0.011385232014356553,1.6586666666666668e-05,3.8338660106666183
15250,0.9564,0.0436,0.0,94.73595118555161,0.011437890318834236,1.6314754098360657e-05,3.834293072786853
15500,0.9568,0.0432,0.0,94.7370257319746,0.011426711335344236,1.6051612903225808e-05,3.8347089599999635
15750,0.9576,0.0424,0.0,94.73576405785417,0.011437293215518951,1.5796825396825398e-05,3.835110039365049
16000,0.9584,0.0416,0.0,94.73474344132373,0.011445090513376341,1.555e-05,3.8355011450000034
16250,0.9564,0.0436,0.0,94.7361240912248,0.011433836863890764,1.531076923076923e-05,3.835880059076956
16500,0.9568,0.0432,0.0,94.73619854469868,0.011434034346378782,1.5078787878787879e-05,3.8362482666667153
16750,0.9572,0.0428,0.0,94.73466955169538,0.01144756963058381,1.4853731343283583e-05,3.836603840000055
17000,0.9564,0.0436,0.0,94.73748774832323,0.011423226652067933,1.463529411764706e-05,3.8369486917647455
17250,0.9568,0.0432,0.0,94.73599296828795,0.011436500617565537,1.4423188405797102e-05,3.837283176811622
17500,0.9556,0.0444,0.0,94.73878945173948,0.011413439992219717,1.4217142857142858e-05,3.8376082331428867
17750,0.9556,0.0444,0.0,94.73844389357674,0.011416308754315607,1.4016901408450704e-05,3.837924006760593
18000,0.9552,0.0448,0.0,94.73699741266651,0.01143052823049532,1.3822222222222222e-05,3.838230457777802
18250,0.9548,0.0452,0.0,94.73925820234432,0.011410974641403055,1.3632876712328768e-05,3.8385290915068673
18500,0.9552,0.0448,0.0,94.73906525610954,0.011411610169623875,1.3448648648648649e-05,3.8388188583783838
18750,0.9548,0.0452,0.0,94.74072586478053,0.011394421857403105,1.3269333333333334e-05,3.8391022293333257
19000,0.954,0.046,0.0,94.74362057753403,0.011369407540862186,1.3094736842105264e-05,3.839381696842089
19250,0.9552,0.0448,0.0,94.74242858538999,0.011376251542942058,1.2924675324675325e-05,3.8396552020778767
19500,0.9564,0.0436,0.0,94.7420132529363,0.011379181212880844,1.2758974358974359e-05,3.8399241394871315
19750,0.956,0.044,0.0,94.74216355148235,0.011378328142848969,1.259746835443038e-05,3.8401845022784458
20000,0.956,0.044,0.0,94.73958971766112,0.01140259637019887,1.244e-05,3.8404369319999563
20250,0.9556,0.0444,0.0,94.74001706214274,0.0113997060736922,1.228641975308642e-05,3.840680647901166
20500,0.9556,0.0444,0.0,94.73700694060078,0.011428218859005442,1.2136585365853658e-05,3.8409172956096755
20750,0.956,0.044,0.0,94.73722082180144,0.011427677721116514,1.1990361445783133e-05,3.841146452048127
21000,0.9556,0.0444,0.0,94.73636030468137,0.011434421791236575,1.1847619047619047e-05,3.8413697866666157
21250,0.9564,0.0436,0.0,94.73587120410168,0.01143906606797108,1.1708235294117647e-05,3.84158779105879
21500,0.9552,0.0448,0.0,94.73700632721383,0.011428712816307439,1.1572093023255814e-05,3.841802690232528
21750,0.956,0.044,0.0,94.73777795676085,0.011420991783819192,1.1439080459770115e-05,3.8420143117240872
22000,0.956,0.044,0.0,94.74086586731295,0.011393707865568602,1.1309090909090908e-05,3.842222243636291
22250,0.956,0.044,0.0,94.73780669355813,0.011421211637464956,1.1182022471910113e-05,3.842423446292051
22500,0.9552,0.0448,0.0,94.74346971508947,0.011372055569592986,1.1057777777777778e-05,3.842621912888786
22750,0.9556,0.0444,0.0,94.74035887886248,0.011397278952644104,1.0936263736263736e-05,3.8428159753845015
23000,0.956,0.044,0.0,94.73873572462459,0.01141178120687542,1.0817391304347826e-05,3.8430050817390247
23250,0.9568,0.0432,0.0,94.73692063664174,0.011427393563111302,1.0701075268817205e-05,3.84318991483861
23500,0.958,0.042,0.0,94.73716373018394,0.01142169164593059,1.0587234042553191e-05,3.8433725446807694
23750,0.9588,0.0412,0.0,94.73417550592998,0.011447943336533081,1.0475789473684211e-05,3.843550925473599
24000,0.9584,0.0416,0.0,94.73572614513137,0.01143446982690206,1.0366666666666667e-05,3.8437248699999045
24250,0.9576,0.0424,0.0,94.73869652317765,0.011408477824515258,1.0259793814432989e-05,3.8438974317524903
24500,0.9584,0.0416,0.0,94.73673339375674,0.011425620758096356,1.0155102040816326e-05,3.844066262857066
24750,0.958,0.042,0.0,94.7381778146716,0.01141290037648334,1.0052525252525252e-05,3.8442323038383206
25000,0.958,0.042,0.0,94.7366118568361,0.011428271207737888,9.952e-06,3.844393884799939
25250,0.9596,0.0404,0.0,94.73260996152001,0.01145989026647435,9.853465346534654e-06,3.8445502510890512
25500,0.9592,0.0408,0.0,94.73225151079774,0.01146651565463512,9.756862745098039e-06,3.844702723137193
25750,0.9572,0.0428,0.0,94.73863994951354,0.01141051145203635,9.662135922330098e-06,3.844853812815466
26000,0.9596,0.0404,0.0,94.73665126837172,0.011422680637713109,9.569230769230769e-06,3.845002218461463
26250,0.9588,0.0412,0.0,94.73386063980182,0.01144834941121512,9.478095238095239e-06,3.8451516617142056
26500,0.9596,0.0404,0.0,94.7373696004527,0.011415488294040052,9.38867924528302e-06,3.845297101886699
26750,0.958,0.042,0.0,94.7370478253414,0.01142205638948074,9.300934579439253e-06,3.8454391416821556
27000,0.9588,0.0412,0.0,94.73579924479839,0.011434832139874245,9.214814814814814e-06,3.8455765007406515
27250,0.9588,0.0412,0.0,94.7320771131391,0.011466748400691278,9.130275229357799e-06,3.8457094370641354
27500,0.96,0.04,0.0,94.73139008659645,0.01146953124129881,9.047272727272726e-06,3.845840770908989
