t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.5256,0.454,0.0204,21.513005699618557,0.2556125801806809
500,0.5756,0.4204,0.004,22.88551813981366,0.23239952523848378
750,0.5768,0.4124,0.0108,22.83550583209463,0.23248124910375897
1000,0.578,0.4164,0.0056,23.64327287425556,0.19983948545023464
1250,0.5236,0.4628,0.0136,21.20373320666057,0.26367451442240325
1500,0.6088,0.3888,0.0024,24.118002783520204,0.20822696599803214
1750,0.5664,0.4316,0.002,23.518682382657996,0.20468980282992214
2000,0.5832,0.414,0.0028,23.697901774692614,0.1972558111252109
2250,0.6044,0.3896,0.006,24.431313175778662,0.19915076509251436
2500,0.5412,0.4564,0.0024,23.084549248135822,0.21333521721188553
2750,0.578,0.4024,0.0196,22.137063529186964,0.2532576166469282
3000,0.5828,0.4128,0.0044,23.807923138829555,0.20094387082424348
3250,0.5576,0.4368,0.0056,23.778697568374266,0.20335664781483162
3500,0.5832,0.4116,0.0052,23.57874506206858,0.21131334754712533
3750,0.5424,0.4504,0.0072,22.968234450304006,0.22741385911749945
4000,0.5348,0.46,0.0052,23.271174146257625,0.21104573981264366
4250,0.5656,0.4256,0.0088,23.13121444502557,0.22373281433323863
4500,0.5492,0.4464,0.0044,22.548108380257784,0.2201503111275944
4750,0.5684,0.4264,0.0052,22.823745974899207,0.21616168544194608
5000,0.6008,0.3992,0.0,24.768225265051658,0.18815525706001532
5250,0.5688,0.4244,0.0068,23.263806015877552,0.21902304743052103
5500,0.5392,0.458,0.0028,22.658019122717686,0.22272528369349112
5750,0.552,0.4364,0.0116,21.926994533993604,0.2520299945431877
6000,0.5696,0.4268,0.0036,23.394685323655775,0.21544733763321297
6250,0.622,0.3752,0.0028,24.749178471495107,0.18927165776264399
6500,0.556,0.4396,0.0044,22.422007825011473,0.2180240675794061
6750,0.572,0.426,0.002,23.422024637598923,0.21289054418771794
7000,0.5648,0.4324,0.0028,23.552080421097063,0.19607394003441855
7250,0.584,0.4088,0.0072,23.584564444527008,0.215361261259284
7500,0.5852,0.4068,0.008,23.277498558989393,0.21680662251496544
7750,0.5592,0.4292,0.0116,22.263578183083045,0.22957749497135188
8000,0.5456,0.4528,0.0016,23.583720166467568,0.19829231639776349
8250,0.5416,0.4576,0.0008,23.489215134701325,0.207434404906012
8500,0.5888,0.4092,0.002,23.35614902220343,0.20999509289123416
8750,0.5712,0.4244,0.0044,23.390619003114292,0.21278185637268066
9000,0.5548,0.4428,0.0024,23.434796666609387,0.2023925433325389
9250,0.5684,0.4236,0.008,21.784809221936047,0.2438950441245275
9500,0.5532,0.4416,0.0052,22.864333686515625,0.22780168663936665
9750,0.5776,0.4136,0.0088,23.058077421784134,0.2193710983007922
10000,0.5772,0.4224,0.0004,23.8478819605782,0.19301834295836126
10250,0.6016,0.3956,0.0028,23.915774234199343,0.2016082526165814
10500,0.562,0.4216,0.0164,22.04885427520104,0.24373911236703594
10750,0.5716,0.4196,0.0088,23.687155326311082,0.2036259236722181
11000,0.5688,0.4224,0.0088,22.89993093937913,0.22394258105740203
