t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,6.0,0.0
250,0.0,1.0,0.0,-234.96814957030216,0.015419623240700083
500,0.0,1.0,0.0,-484.9681495703021,0.007470841833940495
750,0.0,1.0,0.0,-734.9681495703021,0.0049296290486285374
1000,0.0,1.0,0.0,-984.9681495703023,0.0036784137045640826
1250,0.0,1.0,0.0,-1234.968149570302,0.0029337763416806845
1500,0.0,1.0,0.0,-1484.9681495703023,0.00243986400717546
1750,0.0,1.0,0.0,-1734.9681495703023,0.0020882921342595595
2000,0.0,1.0,0.0,-1984.9681495703023,0.0018252788291453661
2250,0.0,1.0,0.0,-2234.968149570302,0.0016211060281262212
2500,0.0,1.0,0.0,-2484.968149570302,0.0014580148001353773
2750,0.0,1.0,0.0,-2734.968149570302,0.001324739500351315
3000,0.0,1.0,0.0,-2984.968149570302,0.0012137886095903855
3250,0.0,1.0,0.0,-3234.968149570302,0.0011199864024688398
3500,0.0,1.0,0.0,-3484.9681495703026,0.0010396423107583506
3750,0.0,1.0,0.0,-3734.9681495703026,0.0009700538786001032
4000,0.0,1.0,0.0,-3984.9681495703026,0.0009091968126092054
4250,0.0,1.0,0.0,-4234.968149570303,0.0008555248143498156
4500,0.0,1.0,0.0,-4484.968149570303,0.0008078363589461924
4750,0.0,1.0,0.0,-4734.968149570303,0.0007651836771631321
5000,0.0,1.0,0.0,-4984.968149570303,0.0007268091251998918
5250,0.0,1.0,0.0,-5234.968149570303,0.000692099786745772
5500,0.0,1.0,0.0,-5484.968149570303,0.0006605544902247708
5750,0.0,1.0,0.0,-5734.968149570303,0.0006317594527896342
6000,0.0,1.0,0.0,-5984.968149570303,0.0006053700286105351
6250,0.0,1.0,0.0,-6234.968149570303,0.0005810968481351763
6500,0.0,1.0,0.0,-6484.968149570303,0.0005586951633954571
6750,0.0,1.0,0.0,-6734.968149570303,0.0005379565663082866
7000,0.0,1.0,0.0,-6984.968149570303,0.0005187024854453202
7250,0.0,1.0,0.0,-7234.968149570303,0.0005007790310941036
7500,0.0,1.0,0.0,-7484.968149570303,0.00048405287337749213
7750,0.0,1.0,0.0,-7734.968149570303,0.0004684079197067914
8000,0.0,1.0,0.0,-7984.968149570303,0.00045374261638519964
8250,0.0,1.0,0.0,-8234.968149570303,0.0004399677417243631
8500,0.0,1.0,0.0,-8484.968149570303,0.0004270045893009022
8750,0.0,1.0,0.0,-8734.968149570303,0.0004147834631906168
9000,0.0,1.0,0.0,-8984.968149570303,0.00040324242441658244
9250,0.0,1.0,0.0,-9234.968149570303,0.0003923262410068068
9500,0.0,1.0,0.0,-9484.968149570303,0.0003819855040949865
9750,0.0,1.0,0.0,-9734.968149570303,0.0003721758802157382
10000,0.0,1.0,0.0,-9984.968149570303,0.00036285747592438965
10250,0.0,1.0,0.0,-9999.678949570303,1.9287389857564617e-05
