allow_forced_l_in_cd,kappa,pi0,r,update_rule,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,cum_sigma_mean,net_sum_res_mean,,,,# GRID = {'r': [1.2,1.4,1.6,1.8, 2.0], 'allow_forced_l_in_cd': [True, False], 'pi0': [5, 10], 'kappa': [0.1, 1], 'update_rule': ['best_rational', 'best_imitation']},,,,
FALSE,0.1,5,2,best_rational,0.22612000000000002,0.77388,0,19.890089529716075,0.3290026842578668,0,49725.22382429018,,,,,,,,,,,,,,,,,,,,
TRUE,1,5,2,best_imitation,0.519784,0.47924,0.0009760000000000002,42.70717336081992,0.06412809757352826,91497.76,15270.173402049817,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,2,best_imitation,0.5184399999999999,0.48156,0,42.699417002977945,0.06385488974519166,0,106748.54250744489,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,2,best_rational,0.22612000000000002,0.77388,0,19.890089529716075,0.3290026842578668,0,49725.22382429018,,,,,,,,,,,,,,,,,,,,
FALSE,1,5,2,best_imitation,0.519832,0.4801680000000001,0,42.77100072924099,0.0627336821716238,0,106927.50182310246,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.2,best_rational,0,0,1,10.2610736,0.055357286917748445,124995153.4,-124969500.7,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.2,best_rational,0,0,1,10.2610736,0.055357286917748445,124995153.4,-124969500.7,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.2,best_rational,0.22612000000000002,0.77388,0,-52.35330578,0.6565735324389393,0,-130883.2644,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,2,best_imitation,0.519784,0.47924,0.0009760000000000002,42.70717336081992,0.06412809757352826,91497.76,15270.173402049817,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.2,best_imitation,0.996344,0.0036560000000000004,0,45.893923536842074,0.0022607266532814877,0,114734.80884210521,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.2,best_rational,0.22612000000000002,0.77388,0,-52.35330578,0.6565735324389393,0,-130883.2644,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,2,best_imitation,0.519832,0.4801680000000001,0,42.77100072924099,0.0627336821716238,0,106927.50182310246,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.2,best_imitation,0.996344,0.0036560000000000004,0,45.893923536842074,0.0022607266532814877,0,114734.80884210521,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.4,best_rational,0,0,1,10.460795199999998,0.062259854664409586,124995153.4,-124969001.4,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.4,best_imitation,0.910112,0.08988000000000002,8e-06,43.980765617146204,0.03186665118357759,1027.16,108924.75404286552,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.4,best_rational,0,0,1,10.460795199999998,0.062259854664409586,124995153.4,-124969001.4,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.4,best_imitation,0.9123199999999998,0.08768000000000001,0,44.02991703248293,0.03117004294171291,0.4,110074.39258120733,,,,,,,,,,,,,,,,,,,,
