t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0
250,0.3124,0.5656,0.122,71.62551045478153,0.08759810987475611,0.2844816,1.2393177599999994
500,0.2492,0.492,0.2588,70.06948366328673,0.07319900329818946,0.2608392,1.2792419200000003
750,0.154,0.434,0.412,68.0015937467851,0.07805114540668409,0.2543413333333333,1.2934402133333334
1000,0.31,0.5628,0.1272,72.04308963226227,0.08399244548919725,0.251176,1.2933313599999998
1250,0.27,0.4772,0.2528,70.21246569062113,0.0719540496801192,0.25335712,1.286641664000001
1500,0.2904,0.454,0.2556,70.45522797215321,0.08672436280610644,0.25377733333333335,1.2866743466666657
1750,0.176,0.54,0.284,69.1831378551993,0.07452074428483288,0.2495766857142857,1.2974720914285696
2000,0.2372,0.4192,0.3436,70.0910305002128,0.07707259687840949,0.2475282,1.2987292799999994
2250,0.3064,0.4096,0.284,71.03812012624358,0.0854438701035176,0.24218026666666667,1.3146600533333335
2500,0.3056,0.4224,0.272,71.41643121264113,0.07824393050624069,0.24604096,1.3074837120000011
2750,0.2768,0.5048,0.2184,71.33946452019029,0.08286013387423319,0.24721265454545455,1.305558632727275
3000,0.2364,0.5112,0.2524,70.18896190481242,0.08178516066543644,0.24829213333333333,1.3033139200000023
3250,0.2956,0.5476,0.1568,72.68993978985725,0.06825211076096598,0.24966436923076923,1.301295704615387
3500,0.2832,0.5328,0.184,71.78644633273791,0.08316165891989807,0.24646651428571428,1.3070521600000022
3750,0.3492,0.5016,0.1492,73.63779920964978,0.07868836936481538,0.24771584,1.3059744426666695
4000,0.2916,0.476,0.2324,71.12399524869419,0.07760718586901333,0.2458991,1.3106160800000024
4250,0.2756,0.4292,0.2952,70.45318890100613,0.0844037594500536,0.24439463529411765,1.313178541176474
4500,0.2736,0.512,0.2144,70.23551124532439,0.07275140275233405,0.24567653333333334,1.3098833422222256
4750,0.35,0.5176,0.1324,73.02361380815536,0.07152606144662797,0.2438112,1.3149873515789503
5000,0.2524,0.4092,0.3384,70.66137063221913,0.07734366524691683,0.24126336,1.3214742400000026
5250,0.2748,0.4164,0.3088,70.62689753706391,0.07816372801562083,0.2407408,1.3235667504761943
5500,0.2772,0.4308,0.292,70.20394778238354,0.07265612348725085,0.2395586909090909,1.3255062690909098
