t,frac_C,frac_D,frac_L,avg_res,gini,,,t,frac_L
0,0.5,0.5,0,10,0,,,0,0
250,0.6852,0.3096,0.0052,84.77154741096304,0.0859451038182021,,,250,0.0052
500,0.688,0.3076,0.0044,85.14508858378744,0.08189930363111173,,,500,0.0044
750,0.6884,0.3072,0.0044,85.23638834578912,0.08119106335816424,,,750,0.0044
1000,0.6884,0.3072,0.0044,85.26679271554693,0.08084912948031991,,,1000,0.0044
1250,0.6888,0.3068,0.0044,85.27954597534149,0.0806902543354433,,,1250,0.0044
1500,0.6896,0.3064,0.004,85.29563683362038,0.08051358875219136,,,1500,0.004
1750,0.6896,0.3064,0.004,85.30090180554394,0.08045249467165978,,,1750,0.004
2000,0.6896,0.3064,0.004,85.31159378262561,0.08031934220248486,,,2000,0.004
2250,0.6896,0.3064,0.004,85.3157524250168,0.08026829476522843,,,2250,0.004
2500,0.6896,0.3064,0.004,85.36426407161241,0.07974492772806378,,,2500,0.004
2750,0.6888,0.3068,0.0044,85.3812815462829,0.07958143984892764,,,2750,0.0044
3000,0.6896,0.3056,0.0048,85.37817685020163,0.07960536424389864,,,3000,0.0048
3250,0.6896,0.3056,0.0048,85.37767330375756,0.07960934917940769,,,3250,0.0048
3500,0.6896,0.3056,0.0048,85.37590063051017,0.07962509408754137,,,3500,0.0048
3750,0.69,0.3056,0.0044,85.37697935749866,0.07961255690331828,,,3750,0.0044
4000,0.6896,0.306,0.0044,85.38532201166801,0.07952000062678166,,,4000,0.0044
4250,0.6904,0.3048,0.0048,85.38430210232862,0.07952341178334829,,,4250,0.0048
4500,0.69,0.3052,0.0048,85.38624156396759,0.07951161935247199,,,4500,0.0048
4750,0.69,0.3052,0.0048,85.3850823802033,0.07952109054280729,,,4750,0.0048
5000,0.69,0.3052,0.0048,85.38549104782457,0.07951580393107201,,,5000,0.0048
5250,0.6904,0.3048,0.0048,85.38804447182959,0.07947085904569018,,,5250,0.0048
5500,0.6908,0.3044,0.0048,85.40470452237878,0.07938005491429607,,,5500,0.0048
5750,0.6904,0.3048,0.0048,85.40793119322045,0.0793572652509895,,,5750,0.0048
6000,0.6904,0.3048,0.0048,85.40686703053666,0.0793660677722068,,,6000,0.0048
6250,0.6904,0.3048,0.0048,85.40773553013761,0.0793588199003884,,,6250,0.0048
6500,0.6904,0.3048,0.0048,85.40870858309955,0.07935074111555815,,,6500,0.0048
6750,0.69,0.3056,0.0044,85.40953139631979,0.07934675440863072,,,6750,0.0044
7000,0.6904,0.3052,0.0044,85.41188916929487,0.07932139121694094,,,7000,0.0044
7250,0.6904,0.3052,0.0044,85.4095437892176,0.07934935100894819,,,7250,0.0044
7500,0.6904,0.3052,0.0044,85.40831970931693,0.079359022035256,,,7500,0.0044
7750,0.6904,0.3052,0.0044,85.40863118003537,0.07935417989875937,,,7750,0.0044
8000,0.6904,0.3044,0.0052,85.40676941596394,0.07936888653647432,,,8000,0.0052
8250,0.6908,0.304,0.0052,85.40743427814415,0.07936136503725673,,,8250,0.0052
8500,0.6908,0.304,0.0052,85.40603499872992,0.07937359265173242,,,8500,0.0052
8750,0.6908,0.304,0.0052,85.40603179016526,0.07937197830629567,,,8750,0.0052
9000,0.6904,0.3048,0.0048,85.40886681240455,0.07934653963902698,,,9000,0.0048
9250,0.69,0.3052,0.0048,85.40897086155526,0.07934845091845927,,,9250,0.0048
9500,0.6896,0.3056,0.0048,85.40916478105464,0.07934601449439647,,,9500,0.0048
9750,0.69,0.3052,0.0048,85.40819952918598,0.07935387164304462,,,9750,0.0048
10000,0.69,0.3052,0.0048,85.4074950786225,0.07935882248325554,,,10000,0.0048
10250,0.6896,0.3056,0.0048,85.40754005843068,0.07936076330516717,,,10250,0.0048
10500,0.6896,0.3052,0.0052,85.4079904546086,0.0793590103763025,,,10500,0.0052
10750,0.6896,0.3052,0.0052,85.4104107721153,0.07934470424275765,,,10750,0.0052
11000,0.6896,0.3056,0.0048,85.4097390330946,0.07935021475173461,,,11000,0.0048
