t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,10.0,0.0
250,0.532,0.4648,0.0032,32.34782887584578,0.164784114784689
500,0.508,0.478,0.014,29.185189070510173,0.22303447720342684
750,0.506,0.4932,0.0008,31.202766386287728,0.17295815211718457
1000,0.568,0.432,0.0,32.18695715033491,0.1712530399568587
1250,0.5236,0.4752,0.0012,30.739259321624292,0.18912040689056658
1500,0.5024,0.4952,0.0024,31.124328944489616,0.18320127838830585
1750,0.5288,0.4708,0.0004,31.271392185321464,0.1742660240301766
2000,0.5196,0.4772,0.0032,30.80173929594634,0.18765536768694446
2250,0.4668,0.5172,0.016,28.56539577720781,0.219712502358499
2500,0.5308,0.4644,0.0048,31.27990464600227,0.18013824764261194
2750,0.4948,0.5032,0.002,29.65012765932329,0.19725000776585114
3000,0.5096,0.49,0.0004,31.41217213771875,0.16672244609349537
3250,0.4948,0.4948,0.0104,29.011941303052502,0.21990432349747593
3500,0.5124,0.4788,0.0088,31.010769450795046,0.18681265173166056
3750,0.5612,0.434,0.0048,31.65813473368266,0.17254288732431755
4000,0.4852,0.508,0.0068,29.06491520734059,0.2235379790768574
4250,0.5072,0.4884,0.0044,31.45524444733017,0.1823649428286738
4500,0.5564,0.44,0.0036,31.15278043949866,0.18334040716144168
4750,0.5836,0.4128,0.0036,32.53154100708174,0.15952704008241936
5000,0.5404,0.4556,0.004,30.581592314179986,0.20411734501822298
5250,0.576,0.4224,0.0016,32.54014720980736,0.16901597795223164
5500,0.5212,0.4764,0.0024,30.447990180119522,0.19311635284483655
5750,0.5132,0.486,0.0008,30.62703642790523,0.178843161852222
6000,0.518,0.4728,0.0092,30.158718903473915,0.21369576968437043
6250,0.5196,0.4748,0.0056,31.72970945980687,0.16946716554742913
6500,0.3928,0.5996,0.0076,27.19050183043515,0.23086671588056498
6750,0.608,0.3864,0.0056,32.46842977400839,0.17136737516394146
7000,0.5224,0.4744,0.0032,30.29137521872977,0.18231668336000248
7250,0.472,0.5228,0.0052,31.20263664641469,0.17990412866646843
7500,0.5532,0.4404,0.0064,32.00047945021688,0.16983014698178006
7750,0.5224,0.4736,0.004,30.705844190363266,0.19094268221468147
8000,0.4912,0.5028,0.006,29.6055112858066,0.2048015645191663
8250,0.5028,0.4864,0.0108,30.32810774321385,0.2017013525221234
8500,0.4704,0.5248,0.0048,30.11877499523339,0.1922951594463743
8750,0.498,0.4916,0.0104,30.209671315141964,0.194297436510818
9000,0.528,0.4664,0.0056,31.36872079408575,0.18376160898392435
9250,0.5368,0.46,0.0032,31.3605930599623,0.1768282120426322
9500,0.5212,0.4676,0.0112,30.236735185117567,0.20234198247632562
9750,0.5132,0.4804,0.0064,30.083992731773737,0.20170241858394045
10000,0.5024,0.4972,0.0004,31.6120779281812,0.1688822805618999
10250,0.5572,0.434,0.0088,31.681934428400815,0.18258251668061687
10500,0.544,0.4524,0.0036,31.227231165086803,0.17812206250094567
10750,0.5152,0.4752,0.0096,29.024461712972926,0.21799363570842076
11000,0.5072,0.48,0.0128,29.71507070517554,0.20093651758660655
11250,0.4916,0.498,0.0104,29.850807363760204,0.19680320941148438
11500,0.5324,0.4636,0.004,31.03620388345708,0.18561606387149335
11750,0.5068,0.4888,0.0044,30.436817761523127,0.18893158523110604
12000,0.5444,0.4548,0.0008,31.73567380405909,0.17782970690843056
12250,0.5376,0.4472,0.0152,30.696977662591532,0.1959560175853467
12500,0.4676,0.5188,0.0136,28.66540844107687,0.2218189316427393
12750,0.5456,0.4536,0.0008,32.22961462401064,0.16495167605811797
13000,0.5412,0.458,0.0008,32.20960857902955,0.16738049891047274
13250,0.5272,0.4672,0.0056,31.157326650358538,0.17338298674673597
13500,0.4356,0.5632,0.0012,28.661876774958742,0.19110655788306571
13750,0.5556,0.4404,0.004,32.32002346016621,0.1675806651547085
14000,0.4776,0.5008,0.0216,28.955480200194533,0.22091119400269194
14250,0.5144,0.4832,0.0024,31.418147725836818,0.17594970472379018
14500,0.5256,0.4728,0.0016,31.518442566554654,0.17437972191187395
14750,0.4912,0.5048,0.004,30.14843459446357,0.1930505245581311
15000,0.5336,0.4592,0.0072,31.507612316709118,0.18589196874548145
15250,0.4788,0.4928,0.0284,27.979992380176014,0.24560459194384862
15500,0.5516,0.4464,0.002,31.406364532570343,0.17716430988666174
15750,0.5388,0.4592,0.002,30.651385143743315,0.1904965173111998
16000,0.532,0.4644,0.0036,31.59880662820849,0.17871947087806914
16250,0.5212,0.478,0.0008,31.53632758836325,0.16889524350056762
16500,0.538,0.4564,0.0056,31.397970864677873,0.1827304560729717
16750,0.5016,0.4876,0.0108,30.127976447040705,0.20368389759383954
17000,0.5164,0.4728,0.0108,30.5847464022903,0.1944308929577279
17250,0.5404,0.4568,0.0028,32.34168262225555,0.16890290267281988
17500,0.5168,0.4808,0.0024,31.432237887783245,0.16758593959296053
17750,0.5564,0.442,0.0016,32.15149041445048,0.16169103420280334
18000,0.5388,0.458,0.0032,30.954601785564236,0.1847622306143372
18250,0.488,0.506,0.006,29.171488624953497,0.20479484480116827
18500,0.4964,0.5004,0.0032,30.635217340575917,0.17997313359456674
18750,0.5112,0.488,0.0008,31.11197810231308,0.18110037204291202
19000,0.52,0.478,0.002,31.33156509904635,0.1789430802002964
19250,0.58,0.42,0.0,33.306338849663696,0.15081748493270827
19500,0.5332,0.4556,0.0112,30.526251804402158,0.1947226080598979
