# GRID = {'r': [1.0,1.02,1.04,1.06,1.08,1.1,1.12,1.14,1.16,1.18,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48,1.5,1.52,1.54,1.56,1.58,1.6,1.62,1.64,1.66,1.68,1.7,1.72,1.74,1.76,1.78,1.8,1.82,1.84,1.86,1.88,1.9,1.92,1.94,1.96,1.98, 2.0], 'allow_forced_l_in_cd': [True, False], 'eta': [0.0]}
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# REPLICAS = 50, T = 50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allow_forced_l_in_cd,eta,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1,1,0,0,95.99999999999996,0,239999.9999999999,0,499964665.2,499964665.2,0,3.999717322,3.999717322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1,1,0,0,95.99999999999996,0,239999.9999999999,0,499964665.2,499964665.2,0,3.999717322,3.999717322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.02,0.9269600000000001,0.07304,0,93.40935471999995,0.020788741246751816,233523.38679999992,0,463974382.7775568,463974382.7775568,0,3.7117950622204545,3.7117950622204545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.02,0.926952,0.07304799999999999,0,93.40907247999996,0.020787701280670867,233522.6811999999,10.54,463970463.78915495,463970453.249155,8.432e-08,3.7117637103132406,3.71176362599324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.04,0.926552,0.073448,0,93.43289983999995,0.020659491500717206,233582.2495999999,0,464320716.37913674,464320716.37913674,0,3.714565731033094,3.714565731033094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.04,0.9265760000000001,0.07342399999999999,0,93.43374079999995,0.020648811019684916,233584.35199999993,12.12,464332397.50710225,464332385.3871023,9.696e-08,3.7146591800568185,3.714659083096818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.06,0.9264160000000001,0.073584,0,93.46806991999996,0.020457461494659875,233670.17479999992,0,464803335.94240534,464803335.94240534,0,3.718426687539243,3.718426687539243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.06,0.926504,0.07349599999999999,0,93.47109967999997,0.02043628163297597,233677.74919999993,13.82,464845400.1215873,464845386.3015873,1.1056e-07,3.7187632009726985,3.7187630904126987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.08,0.9262239999999998,0.07377600000000001,0,93.50005823999993,0.02030763928451529,233750.14559999987,0,465260546.7391806,465260546.7391806,0,3.722084373913445,3.722084373913445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.08,0.92636,0.07364,0,93.50518431999996,0.020268541426533546,233762.96079999988,16.82,465324986.875185,465324970.055185,1.3455999999999998e-07,3.72259989500148,3.72259976044148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
