t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0
250,0.2836,0.4492,0.2672,72.0745169211383,0.09801504385916068,0.25348,1.48120128
500,0.3168,0.4592,0.224,72.51102387302986,0.08512112389637974,0.2580216,1.45723184
750,0.3988,0.4984,0.1028,75.16351057628842,0.09356747018321705,0.23747893333333334,1.5260862933333328
1000,0.244,0.3976,0.3584,71.12434754278112,0.08186368230497953,0.2315568,1.5465017600000006
1250,0.344,0.4716,0.1844,73.32924435841335,0.08304376463022302,0.23931712,1.5310340480000002
1500,0.3404,0.4464,0.2132,72.8203513933382,0.09276436354252647,0.2437576,1.509596586666666
1750,0.312,0.488,0.2,74.18548120586388,0.08511629510389825,0.23978697142857142,1.5182244114285697
2000,0.4364,0.4664,0.0972,76.44672899054746,0.09374423868832149,0.2351372,1.5296917199999993
2250,0.2548,0.418,0.3272,70.43924588065042,0.08650915961251189,0.22775751111111112,1.5501633066666642
2500,0.4208,0.5188,0.0604,76.00573452901227,0.08983223597890858,0.23331792,1.5343901439999985
2750,0.3388,0.444,0.2172,71.49823343084853,0.08866901365499814,0.2263581090909091,1.54835988363636
3000,0.2872,0.466,0.2468,73.67039859053669,0.08382685438824493,0.22716853333333334,1.5463663466666644
3250,0.3396,0.468,0.1924,74.03077363108709,0.08330837667997461,0.22625316923076924,1.5452481969230758
3500,0.3724,0.4032,0.2244,74.70649134606637,0.07704085672067691,0.22594457142857144,1.5492207771428566
3750,0.2408,0.4416,0.3176,70.65729507324794,0.1006833455392214,0.22020586666666667,1.5647741226666665
4000,0.2536,0.3316,0.4148,72.00977098898208,0.08656829991422156,0.2249671,1.5521997799999994
4250,0.3412,0.416,0.2428,74.52591175741709,0.08162215285006294,0.22437910588235294,1.5552295152941173
4500,0.3256,0.452,0.2224,73.98766513036254,0.0839032151160803,0.2231160888888889,1.5575035911111133
4750,0.3048,0.4728,0.2224,74.3248009954077,0.08422050336145051,0.22404437894736842,1.5535390821052661
5000,0.3052,0.456,0.2388,72.64940111235764,0.08429938769970004,0.22282568,1.5552155200000022
5250,0.3544,0.5292,0.1164,74.0601322053216,0.09095919312009668,0.22291695238095238,1.5535350857142867
5500,0.2588,0.3652,0.376,70.13315819192314,0.09799522086940204,0.22269214545454546,1.5517756509090916
5750,0.386,0.3856,0.2284,73.25476440950347,0.07923048739544139,0.22217217391304347,1.5522202434782626
6000,0.3076,0.5144,0.178,73.73351786252836,0.07578945523505243,0.2220918,1.551523306666667
6250,0.2768,0.3884,0.3348,72.13085815636708,0.08420184417917362,0.221549312,1.5522847743999997
6500,0.3172,0.4304,0.2524,72.8525246388522,0.09265533248845752,0.22363895384615384,1.546055741538461
6750,0.2684,0.4924,0.2392,73.25473413905605,0.08159260666927715,0.22265392592592592,1.5480008414814814
7000,0.3572,0.4708,0.172,73.13878286240359,0.09159142373119998,0.2234646857142857,1.5457922285714278
7250,0.3108,0.3484,0.3408,72.18248713007944,0.08132703663715936,0.22313710344827586,1.5460974344827585
7500,0.3832,0.528,0.0888,76.72097617582449,0.09182060717205512,0.22119216,1.5527241813333335
7750,0.2716,0.4228,0.3056,71.73035546529293,0.09570969356051197,0.22022049032258065,1.5567460129032273
8000,0.3272,0.4076,0.2652,72.95280337025251,0.08798007702562848,0.22061655,1.5568751500000007
8250,0.3724,0.4316,0.196,73.5937128862758,0.0955709785923781,0.22213173333333333,1.5525089551515159
8500,0.3444,0.464,0.1916,74.54111462937033,0.07928772763014845,0.22362376470588236,1.5497826070588232
8750,0.3276,0.434,0.2384,74.00014978443534,0.09598243440431606,0.2230773942857143,1.551501412571428
9000,0.3496,0.4848,0.1656,74.63547428915022,0.09134536358477871,0.22279715555555554,1.5533827111111087
9250,0.3556,0.4212,0.2232,73.21514198629826,0.10153697744243444,0.2228998054054054,1.5526262140540505
9500,0.2704,0.4988,0.2308,73.35199022618309,0.088465601269934,0.22235423157894738,1.5541003452631543
9750,0.2812,0.4628,0.256,72.45450700384951,0.09077847867345087,0.22281427692307693,1.551254367179482
