t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,5.0,0.0
250,0.516,0.4832,0.0008,42.65748668738348,0.06448118799617926
500,0.5172,0.482,0.0008,42.7442426333746,0.06332745571114445
750,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
1000,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
1250,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
1500,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
1750,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
2000,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
2250,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
2500,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
2750,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
3000,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
3250,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
3500,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
3750,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
4000,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
4250,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
4500,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
4750,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
5000,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
5250,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
5500,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
5750,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
6000,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
6250,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
6500,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
6750,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
7000,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
7250,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
7500,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
7750,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
8000,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
8250,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
8500,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
8750,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
9000,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
9250,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
9500,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
9750,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
10000,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
10250,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
10500,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
10750,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
11000,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
11250,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
11500,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
11750,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
12000,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
12250,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
12500,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
12750,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
13000,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
13250,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
13500,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
13750,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
14000,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
14250,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
14500,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
14750,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
15000,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
15250,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
15500,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
15750,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
16000,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
16250,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
16500,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
16750,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
17000,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
17250,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
17500,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
17750,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
18000,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
18250,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
18500,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
18750,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
19000,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
19250,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
19500,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
19750,0.5172,0.482,0.0008,42.74803983851017,0.06330528868375487
20000,0.5172,0.482,0.0008,42.744643705286364,0.06332464473491764
20250,0.5172,0.482,0.0008,42.74658670158992,0.06331308303858663
