t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.076,0.2744,0.6496,36.3903714330446,0.32880885334472904,0.5459984,0.57504,1600.0,830.0,-770.0,0.0290416
500,0.1064,0.2712,0.6224,61.52348505156851,0.12150643583380243,0.5136504,0.7190688,1562.0,1238.0,-324.0,0.2054184
750,0.1876,0.3196,0.4928,66.92995320404336,0.07967229342426015,0.523216,0.7193077333333333,1244.0,2158.0,914.0,0.19609173333333332
1000,0.2016,0.6212,0.1772,70.08830494761571,0.08145694406211743,0.5069304,0.7587096,414.0,2834.0,2420.0,0.2517792
1250,0.1228,0.4144,0.4628,67.98945862613469,0.07495366357818956,0.49777408,0.77608,1144.0,1662.0,518.0,0.27830592
1500,0.1648,0.4488,0.3864,69.056670445249,0.08251358058136046,0.4948954666666667,0.7851653333333334,932.0,2196.0,1264.0,0.29026986666666665
1750,0.1208,0.6876,0.1916,67.24576985604884,0.07902801586490782,0.48783817142857144,0.8025526857142857,439.0,1904.0,1465.0,0.3147145142857143
2000,0.1868,0.4636,0.3496,68.83708469797205,0.07343790985078001,0.4912054,0.7959924,864.0,2310.0,1446.0,0.304787
2250,0.1804,0.4636,0.356,68.04315274879019,0.06652084466611852,0.49283217777777777,0.7983843555555555,876.0,2088.0,1212.0,0.30555217777777777
2500,0.2404,0.4276,0.332,70.09555225382233,0.08454277325296883,0.48875264,0.8040544,834.0,2870.0,2036.0,0.31530176
2750,0.2288,0.6648,0.1064,68.51624166058656,0.10617001637327542,0.4870196363636364,0.8086577454545455,258.0,3058.0,2800.0,0.32163810909090906
3000,0.28,0.4012,0.3188,72.8360536842134,0.09188741363579678,0.48216133333333333,0.8214712,819.0,3472.0,2653.0,0.3393098666666667
3250,0.1812,0.304,0.5148,67.98026902400238,0.06326137686362965,0.4804273230769231,0.8241824,1282.0,2058.0,776.0,0.34375507692307694
3500,0.184,0.5172,0.2988,69.02231360016174,0.08297653777357633,0.47841622857142857,0.8306514285714286,738.0,2736.0,1998.0,0.3522352
3750,0.1092,0.1648,0.726,64.11641666319643,0.08128861877246055,0.4774760533333333,0.83050432,1834.0,1346.0,-488.0,0.35302826666666665
4000,0.18,0.2912,0.5288,67.49320779370181,0.06947927950808801,0.4808336,0.8265938,1352.0,1858.0,506.0,0.3457602
4250,0.1024,0.3284,0.5692,67.1707447928158,0.06950816482113639,0.47980056470588234,0.8279437176470589,1405.0,1334.0,-71.0,0.3481431529411765
4500,0.1592,0.3428,0.498,67.505116934757,0.07028895984386194,0.4814489777777778,0.8252551111111112,1259.0,1942.0,683.0,0.3438061333333333
4750,0.172,0.3492,0.4788,67.56269564833019,0.07367627121064103,0.48041414736842103,0.8271418947368421,1176.0,2052.0,876.0,0.34672774736842105
5000,0.0652,0.1104,0.8244,62.38538110096578,0.07543779844546744,0.48015272,0.82772576,2063.0,606.0,-1457.0,0.34757304
5250,0.324,0.3272,0.3488,71.13013498730484,0.08406019113236606,0.4788467047619048,0.8342467047619048,895.0,3658.0,2763.0,0.3554
5500,0.2008,0.4388,0.3604,67.06736720384812,0.08025515466124089,0.47803454545454543,0.8336085818181819,897.0,2380.0,1483.0,0.3555740363636364
5750,0.2284,0.3256,0.446,68.69212294710772,0.08379712964068312,0.4797115826086957,0.8304506434782609,1152.0,2750.0,1598.0,0.35073906086956524
6000,0.1472,0.3632,0.4896,67.59624397857347,0.07182295315317533,0.47715593333333334,0.8356654666666666,1229.0,1824.0,595.0,0.35850953333333335
6250,0.1792,0.3312,0.4896,66.92967400587857,0.07768500384827592,0.476510528,0.835624704,1260.0,2206.0,946.0,0.359114176
6500,0.2016,0.3188,0.4796,67.76855198061448,0.07853784301251657,0.47847033846153847,0.8323606153846154,1214.0,2390.0,1176.0,0.3538902769230769
6750,0.1652,0.3848,0.45,65.89299990503513,0.08113791486298709,0.4784302814814815,0.8330435555555555,1096.0,1858.0,762.0,0.35461327407407406
7000,0.1304,0.2708,0.5988,66.29040500025046,0.06674219715007741,0.47732,0.8359608,1461.0,1440.0,-21.0,0.3586408
7250,0.3016,0.4064,0.292,72.03488683645011,0.07580145970456315,0.47754775172413794,0.8363953655172414,752.0,3550.0,2798.0,0.3588476137931034
7500,0.2412,0.46,0.2988,69.73288751323203,0.082670122233152,0.47591898666666665,0.83841536,737.0,2958.0,2221.0,0.36249637333333334
7750,0.2,0.4056,0.3944,65.79670536180639,0.09426948518448656,0.4752933677419355,0.8388067096774193,1003.0,2308.0,1305.0,0.36351334193548385
8000,0.1352,0.3568,0.508,63.31976319007382,0.1024826738737149,0.4746398,0.8384468,1223.0,1570.0,347.0,0.363807
8250,0.1512,0.2928,0.556,65.00651238290504,0.08360081461922375,0.47557866666666665,0.8373517575757575,1410.0,1738.0,328.0,0.36177309090909093
8500,0.2472,0.4988,0.254,71.02938554141534,0.06956708640025694,0.47520103529411767,0.8389397647058824,625.0,3300.0,2675.0,0.3637387294117647
8750,0.1144,0.2244,0.6612,65.66755322881828,0.06741996615550785,0.4750683885714286,0.8385837714285714,1669.0,1364.0,-305.0,0.36351538285714285
9000,0.1164,0.5152,0.3684,67.159562443632,0.07136906832554506,0.47391684444444443,0.8401464,870.0,1700.0,830.0,0.36622955555555553
9250,0.1744,0.3864,0.4392,68.12511706474058,0.07519253025624657,0.4740812972972973,0.8397689081081081,1105.0,2174.0,1069.0,0.3656876108108108
9500,0.156,0.4088,0.4352,65.7453286341195,0.09127843101346163,0.4726274105263158,0.8409885473684211,1092.0,2160.0,1068.0,0.36836113684210525
9750,0.3076,0.452,0.2404,71.07434367285204,0.07199878872029812,0.47345546666666666,0.8395062153846153,635.0,3536.0,2901.0,0.36605074871794874
10000,0.1116,0.1812,0.7072,65.4794021436007,0.07379357842199882,0.47403144,0.83813632,1776.0,1286.0,-490.0,0.36410488
10250,0.1024,0.2436,0.654,64.77066406881487,0.07327106316116866,0.4743422048780488,0.8376980292682927,1600.0,1326.0,-274.0,0.3633558243902439
10500,0.2348,0.3388,0.4264,66.4429368256045,0.10073309118132188,0.4739344,0.8376629333333333,1056.0,2812.0,1756.0,0.3637285333333333
10750,0.1336,0.358,0.5084,66.9097713334258,0.07530402325010542,0.47278902325581396,0.8387776,1236.0,1742.0,506.0,0.36598857674418606
11000,0.1808,0.4128,0.4064,67.19900611823783,0.07919360007807952,0.47271345454545455,0.8386309090909091,1009.0,2320.0,1311.0,0.36591745454545455
