t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.3524,0.6476,0.0,50.3501967898132,0.33823290764632397,0.0,1.3663863680000001,0.0,4356.24,4356.24,1.3663863680000001
500,0.2992,0.7008,0.0,49.14808861516618,0.3306231478469194,0.0,1.3992492160000005,0.0,3541.04,3541.04,1.3992492160000005
750,0.2296,0.7704,0.0,52.1901933767531,0.2660407650213415,0.0,1.3963383679999997,0.0,3144.84,3144.84,1.3963383679999997
1000,0.3604,0.6396,0.0,28.181750566626363,0.5516624016077268,0.0,1.3450213119999985,0.0,4191.4400000000005,4191.4400000000005,1.3450213119999985
1250,0.3028,0.6972,0.0,25.177468275730483,0.5464946258973234,0.0,1.3339339519999982,0.0,3592.12,3592.12,1.3339339519999982
1500,0.2432,0.7568,0.0,27.537789223401038,0.5611987597559035,0.0,1.3241962666666642,0.0,3219.96,3219.96,1.3241962666666642
1750,0.3464,0.6536,0.0,41.824068828334276,0.43406162254682723,0.0,1.3368913279999974,0.0,4293.4400000000005,4293.4400000000005,1.3368913279999974
2000,0.204,0.796,0.0,41.97447711625672,0.38982485307652454,0.0,1.3470859519999987,0.0,2623.5600000000004,2623.5600000000004,1.3470859519999987
2250,0.1952,0.8048,0.0,38.458702780680234,0.4392808609002166,0.0,1.334915292444443,0.0,2530.92,2530.92,1.334915292444443
2500,0.242,0.758,0.0,18.575274437290446,0.6122069805082468,0.0,1.3115092031999973,0.0,2971.44,2971.44,1.3115092031999973
2750,0.3792,0.6208,0.0,28.37860566159382,0.5272405430731305,0.0,1.312908887272724,0.0,4420.639999999999,4420.639999999999,1.312908887272724
3000,0.2848,0.7152,0.0,48.17808668656703,0.3614243016217197,0.0,1.3241427413333284,0.0,3786.96,3786.96,1.3241427413333284
3250,0.334,0.666,0.0,51.98771824395862,0.3153256807084183,0.0,1.3280985698461492,0.0,4172.32,4172.32,1.3280985698461492
