allow_forced_l_in_cd,r,sigma,frac_C_mean,frac_C_std,frac_D_mean,frac_D_std,frac_L_mean,frac_L_std,avg_res_mean,avg_res_std,sum_res_mean,sum_res_std,gini_mean,gini_std
FALSE,1.2,0.25,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.2,0.28,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.2,0.3,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.2,0.25,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.2,0.26,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.2,0.26,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.2,0.27,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.2,0.29,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.2,0.28,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.2,0.27,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.2,0.29,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.2,0.3,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.4,0.27,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.4,0.25,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.4,0.28,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.4,0.26,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.4,0.26,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.4,0.25,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.4,0.27,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.4,0.3,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.4,0.28,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
TRUE,1.4,0.29,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.4,0.3,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
FALSE,1.4,0.29,1,0,0,0,0,0,35.999999999999986,0,129599.99999999996,1.4551915228366852e-11,0,0
