allow_forced_l_in_cd,pi0,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,cum_sigma_mean,net_sum_res_mean,,,,,,,,,,,,,,,,,
TRUE,8,1.6,0.46328800000000003,0.37159200000000003,0.16511999999999996,16.871365603032977,0.41076071248035484,20069778.24,-20027599.83,,,,,,,,,,,,,,,,,
FALSE,9,1.6,0.461352,0.5386479999999999,0,16.082058152040332,0.4052421702270093,0,40205.14538010083,,,,,,,,,,,,,,,,,
TRUE,9,1.6,0.45703999999999995,0.3831920000000001,0.15976800000000002,16.858851413494104,0.40729573594554513,20015376.96,-19973229.83,,,,,,,,,,,,,,,,,
FALSE,10,1.6,0.44751199999999997,0.552488,0,15.46088698066806,0.41856710887098864,0,38652.217451670156,,,,,,,,,,,,,,,,,
TRUE,10,1.6,0.480208,0.36910399999999993,0.15068800000000002,17.76620673289797,0.3897732705906535,19707165.5,-19662749.98,,,,,,,,,,,,,,,,,
FALSE,8,1.8,0.00344,0.9965600000000001,0,-9615.846925,0.023382867542506573,0,-24039617.31,,,,,,,,,,,,,,,,,
TRUE,8,1.8,0.2,0,0.8,6.109279276830243,0.4461107419561286,100053411.9,-100038138.7,,,,,,,,,,,,,,,,,
FALSE,9,1.8,0.002464,0.9975360000000001,0,-9825.956086,0.012959954897872676,0,-24564890.22,,,,,,,,,,,,,,,,,
TRUE,9,1.8,0.26,0,0.74,8.387639825271838,0.4169131497277879,92596039.5,-92575070.4,,,,,,,,,,,,,,,,,
FALSE,10,1.8,0.009032,0.9909680000000001,0,-9341.200426,0.03749841146496626,0,-23353001.07,,,,,,,,,,,,,,,,,
TRUE,10,1.8,0.16,0,0.84,4.61272421385765,0.4677270555557948,105057772.6,-105046240.8,,,,,,,,,,,,,,,,,
FALSE,8,2,0,1,0,-9999.569754,1.939944330380864e-05,0,-24998924.38,,,,,,,,,,,,,,,,,
TRUE,8,2,0.02,0,0.98,-0.490264352,0.5446518310792692,122470492.3,-122471718,,,,,,,,,,,,,,,,,
FALSE,9,2,0,1,0,-9999.503048,1.8059033329782867e-05,0,-24998757.62,,,,,,,,,,,,,,,,,
TRUE,9,2,0.02,0,0.98,-0.368616453,0.5530306267876637,122466871.5,-122467793.1,,,,,,,,,,,,,,,,,
FALSE,10,2,0,1,0,-9999.50073,1.699935943770435e-05,0,-24998751.83,,,,,,,,,,,,,,,,,
TRUE,10,2,0,0,1,-1.054740174,0.5604456269419845,124955542.7,-124958179.6,,,,,,,,,,,,,,,,,
