allow_forced_l_in_cd,kappa,pi0,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,cum_sigma_mean,net_sum_res_mean,,,# GRID = {'r': [1.2,1.4,1.6,1.8, 2.0], 'allow_forced_l_in_cd': [True, False], 'pi0': [4,5,6,7,8,9, 10], 'kappa': [0.1,0.5, 1]}
FALSE,0.5,5,1.2,1,0,0,35.99999999999998,0,0,89999.99999999994,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.2,1,0,0,35.99999999999998,1.2626818109614161e-20,0,89999.99999999994,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.4,1,0,0,35.99999999999998,0,17284.82,72715.17999999995,,,,,,,,,,,,,,,,,,,
TRUE,0.5,5,1.4,1,0,0,35.99999999999998,1.2626818109614161e-20,20774.44,69225.55999999994,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.4,0.865392,0.13460799999999998,0,32.059901612135825,0.08304935505653159,22827.28,57322.47403033955,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.4,1,0,0,35.99999999999998,0,0,89999.99999999994,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.4,0.8706240000000001,0.129376,0,32.21787418293873,0.08092344727644965,0,80544.68545734682,,,,,,,,,,,,,,,,,,,
FALSE,0.5,5,1.4,1,0,0,35.99999999999998,2.5253636219228323e-20,0,89999.99999999994,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.6,0.569144,0.424624,0.006232,23.160857405688198,0.21682981131553616,791160.86,-733258.7165,,,,,,,,,,,,,,,,,,,
TRUE,0.5,5,1.6,0.514432,0.47,0.015568000000000002,21.228373122601027,0.25474990928431196,2141302.56,-2088231.627,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.6,0.573312,0.42668799999999996,0,23.017417749330804,0.22533819227016694,0,57543.54437332701,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.6,0.43833600000000006,0.5158559999999999,0.045808,18.047792366577447,0.32572265841867976,6483879.78,-6438760.299,,,,,,,,,,,,,,,,,,,
FALSE,0.5,5,1.6,0.515456,0.484544,0,20.52060077431673,0.28189344243741243,0,51301.501935791835,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.6,0.45510399999999995,0.544896,0,16.06667026466262,0.40498202833878877,0,40166.67566165655,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.8,0.17634400000000003,0.419872,0.4037839999999999,6.899256439423038,0.666695022868914,49584299.06,-49567050.92,,,,,,,,,,,,,,,,,,,
TRUE,0.5,5,1.8,0.18442400000000003,0.443144,0.37243200000000004,7.339526003518865,0.6386456135533647,46065071.48,-46046722.66,,,,,,,,,,,,,,,,,,,
TRUE,1,5,1.8,0.17739199999999997,0.383448,0.43916000000000005,6.943941896454445,0.6502023917970261,53222036.02,-53204676.17,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.8,0.056232,0.943768,0,-7437.143612,0.17790562187725395,0,-18592859.03,,,,,,,,,,,,,,,,,,,
FALSE,0.5,5,1.8,0.027000000000000003,0.9730000000000001,0,-8795.8092,0.07716642051590356,0,-21989523,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,2,0.033232000000000005,0.100672,0.8660959999999999,1.4181719951163865,0.9037371515115887,106891496,-106887950.6,,,,,,,,,,,,,,,,,,,
FALSE,1,5,1.8,0.023632,0.9763679999999999,0,-9293.606617,0.055160120649323865,0,-23234016.54,,,,,,,,,,,,,,,,,,,
TRUE,0.5,5,2,0.028464,0.073448,0.898088,1.2278206443623716,0.8393925638341968,108585932.4,-108582862.8,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,2,0,1,0,-9999.758189,1.699228380721727e-05,0,-24999395.47,,,,,,,,,,,,,,,,,,,
