# GRID = {'r': [1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9, 2.0], 'allow_forced_l_in_cd': [True, False], 'eta': [0,0.2,0.4,0.6,0.8, 1]},,,,
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09)
# REPLICAS = 50, T = 50000,,,,,,,,,,,,,,,,,,,
allow_forced_l_in_cd,eta,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean,,,,,,
FALSE,0.6,1.2,0.9610799999999999,0.038919999999999996,0,94.80874559999995,0.010996165246194305,237021.8639999999,0,483411840.5439266,483411840.5439266,0,3.8672947243514124,3.8672947243514124,,,,,,
FALSE,0,1.2,0.9246480000000001,0.075352,0,93.68838399999996,0.01925862581478656,234220.95999999985,0,467878309.75996095,467878309.75996095,0,3.7430264780796874,3.7430264780796874,,,,,,
FALSE,0.8,1.2,0.980496,0.019503999999999997,0,95.40314879999997,0.005844304898176098,238507.8719999999,0,491668629.1279814,491668629.1279814,0,3.9333490330238514,3.9333490330238514,,,,,,
FALSE,1,1.2,0.9899600000000001,0.01004,0,95.69276159999994,0.003095768896999745,239231.90399999986,0,495691203.2240006,495691203.2240006,0,3.965529625792004,3.965529625792004,,,,,,
FALSE,0.2,1.2,0.9253199999999999,0.07468,0,93.70841919999995,0.01910948241649087,234271.0479999999,0,468165025.6719383,468165025.6719383,0,3.745320205375507,3.745320205375507,,,,,,
FALSE,0.4,1.2,0.93864,0.06136000000000001,0,94.12111359999993,0.016218813360993248,235302.78399999987,0,473862919.1599291,473862919.1599291,0,3.7909033532794325,3.7909033532794325,,,,,,
TRUE,1,1.2,0.9899600000000001,0.01004,0,95.69276159999994,0.003095768896999745,239231.90399999986,1.04,495691202.3040005,495691201.2640005,8.320000000000001e-09,3.9655296184320044,3.9655296101120046,,,,,,
TRUE,0.8,1.2,0.9804480000000001,0.019552,0,95.40167999999996,0.005857558093959794,238504.1999999999,0.66,491648238.03193974,491648237.3719398,5.280000000000001e-09,3.933185904255518,3.9331858989755175,,,,,,
TRUE,0.6,1.2,0.961,0.03900000000000001,0,94.80629759999994,0.011015999769021251,237015.74399999986,1.84,483377869.9359281,483377868.09592813,1.472e-08,3.8670229594874246,3.867022944767425,,,,,,
TRUE,0.2,1.2,0.925536,0.074464,0,93.71555359999995,0.01906166711551676,234288.88399999987,20.8,468257752.81592256,468257732.01592255,1.664e-07,3.7460620225273793,3.7460618561273797,,,,,,
TRUE,0.4,1.2,0.938112,0.061888000000000006,0,94.10472639999993,0.016347098475370463,235261.81599999993,4.9,473635609.18393683,473635604.28393686,3.92e-08,3.7890848734714937,3.789084834271494,,,,,,
TRUE,0,1.2,0.92464,0.07536000000000001,0,93.68818239999995,0.019258629359508186,234220.45599999986,26.7,467875494.6799853,467875467.9799853,2.1360000000000003e-07,3.7430039574398823,3.7430037438398824,,,,,,
FALSE,0.6,1.3,0.951464,0.04853600000000001,0,94.64415119999995,0.0124047985196719,236610.3779999999,0,481121647.6200329,481121647.6200329,0,3.848973180960263,3.848973180960263,,,,,,
FALSE,0.2,1.3,0.933488,0.066512,0,94.13902719999999,0.016295830401387795,235347.56799999988,0,474120450.31599945,474120450.31599945,0,3.792963602527996,3.792963602527996,,,,,,
FALSE,0.8,1.3,0.9712879999999999,0.028712000000000005,0,95.19861119999995,0.007713424822558188,237996.5279999999,0,488820387.5920334,488820387.5920334,0,3.910563100736267,3.910563100736267,,,,,,
FALSE,1,1.3,0.9843440000000001,0.015656,0,95.56264319999998,0.004357013801574386,238906.6079999999,0,493882541.9239579,493882541.9239579,0,3.951060335391663,3.951060335391663,,,,,,
FALSE,0.4,1.3,0.9391519999999999,0.060848000000000006,0,94.29811679999997,0.015114724592127194,235745.29199999987,0,476320798.2880401,476320798.2880401,0,3.8105663863043207,3.8105663863043207,,,,,,
FALSE,0,1.3,0.925048,0.07495200000000002,0,93.90065599999997,0.018024996620457086,234751.63999999993,0,470840117.3840146,470840117.3840146,0,3.7667209390721172,3.7667209390721172,,,,,,
TRUE,0.6,1.3,0.951648,0.04835200000000001,0,94.64917679999995,0.012359626243792873,236622.94199999992,6.92,481191484.87205595,481191477.952056,5.536000000000001e-08,3.849531878976448,3.8495318236164477,,,,,,
TRUE,1,1.3,0.9843120000000001,0.015688,0,95.56175039999998,0.00436551803608446,238904.37599999987,3.02,493870138.19997406,493870135.1799741,2.416e-08,3.9509611055997924,3.950961081439792,,,,,,
TRUE,0,1.3,0.9250400000000001,0.07496,0,93.90039199999997,0.0180284582607556,234750.97999999992,36.64,470836073.3879992,470836036.7479992,2.9312e-07,3.766688587103994,3.766688293983994,,,,,,
TRUE,0.2,1.3,0.9335920000000002,0.066408,0,94.14199359999995,0.01626871256257359,235354.98399999988,31.14,474161502.2299202,474161471.0899202,2.4912e-07,3.793292017839361,3.793291768719361,,,,,,
TRUE,0.4,1.3,0.939688,0.060312000000000004,0,94.31330879999996,0.014989973243256918,235783.27199999988,11.2,476531832.4200161,476531821.2200161,8.960000000000001e-08,3.812254659360129,3.8122545697601287,,,,,,
TRUE,0.8,1.3,0.97136,0.028640000000000002,0,95.20072799999994,0.007695389158425909,238001.8199999999,2.92,488849767.7360246,488849764.8160246,2.336e-08,3.9107981418881974,3.9107981185281977,,,,,,
FALSE,0.6,1.4,1,0,0,95.99999999999996,3.8815339091039897e-19,239999.9999999999,0,498450416.07998955,498450416.07998955,0,3.9876033286399166,3.9876033286399166,,,,,,
FALSE,0.2,1.4,0.5981359999999999,0.401864,0,83.81403853673712,0.04370762892339161,209535.09634184276,0,330117288.80000013,330117288.80000013,0,2.640938310400001,2.640938310400001,,,,,,
FALSE,1,1.4,0.9932159999999999,0.006783999999999999,0,95.81903062877836,0.0018411705341414496,239547.5765719459,0,496459760.560013,496459760.560013,0,3.971678084480104,3.971678084480104,,,,,,
FALSE,0.4,1.4,0.8094559999999998,0.19054399999999996,0,90.45786885663216,0.03359115363413966,226144.67214158032,0,425462283.8080004,425462283.8080004,0,3.4036982704640018,3.4036982704640018,,,,,,
FALSE,0.8,1.4,0.9935680000000001,0.006432,0,95.8256204127675,0.0017774892895421378,239564.0510319187,0,494847958.7040034,494847958.7040034,0,3.958783669632027,3.958783669632027,,,,,,
FALSE,0,1.4,0.398544,0.601456,0,76.21206393090183,0.04670418585229215,190530.15982725457,0,231641667.93599984,231641667.93599984,0,1.8531333434879989,1.8531333434879989,,,,,,
TRUE,0.6,1.4,1,0,0,95.99999999999996,2.745196070463863e-19,239999.9999999999,56.48,498380332.4879917,498380276.00799173,4.5184e-07,3.9870426599039335,3.987042208063934,,,,,,
TRUE,1,1.4,0.99312,0.006879999999999998,0,95.81415697920355,0.0018901399290192952,239535.39244800885,23.5,496384102.80806005,496384079.30806005,1.88e-07,3.971072822464481,3.9710726344644804,,,,,,
TRUE,0.8,1.4,0.9936159999999999,0.006384000000000001,0,95.82803976641819,0.0017529264127163415,239570.0994160455,30.96,494935302.64400774,494935271.6840077,2.4767999999999995e-07,3.959482421152062,3.9594821734720616,,,,,,
TRUE,0.2,1.4,0.5945360000000001,0.405464,0,83.65829542385815,0.044008408812223634,209145.73855964537,362.72,330139963.2519998,330139600.5319998,2.90176e-06,2.641119706015999,2.6411168042559985,,,,,,
TRUE,0.4,1.4,0.810168,0.18983199999999997,0,90.5947919753259,0.03306261519706167,226486.97993831473,165.62,425390621.0440001,425390455.4240001,1.3249600000000002e-06,3.4031249683520013,3.403123643392001,,,,,,
