t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,9.0,0.0
250,0.0,1.0,0.0,-235.49256095938492,0.007940314151287736
500,0.0,1.0,0.0,-485.4925609593849,0.0038515212480572446
750,0.0,1.0,0.0,-735.492560959385,0.0025423573446748397
1000,0.0,1.0,0.0,-985.492560959385,0.0018974114959208334
1250,0.0,1.0,0.0,-1235.492560959385,0.0015134732279219803
1500,0.0,1.0,0.0,-1485.492560959385,0.0012587642398566808
1750,0.0,1.0,0.0,-1735.492560959385,0.0010774375853706436
2000,0.0,1.0,0.0,-1985.492560959385,0.0009417738202984104
2250,0.0,1.0,0.0,-2235.492560959385,0.0008364532036314674
2500,0.0,1.0,0.0,-2485.492560959385,0.0007523196583565822
2750,0.0,1.0,0.0,-2735.492560959385,0.0006835642476223697
3000,0.0,1.0,0.0,-2985.492560959385,0.0006263237560062469
3250,0.0,1.0,0.0,-3235.492560959385,0.0005779289796154977
3500,0.0,1.0,0.0,-3485.492560959385,0.0005364765184849809
3750,0.0,1.0,0.0,-3735.4925609593847,0.000500572517223418
4000,0.0,1.0,0.0,-3985.4925609593847,0.0004691728527172746
4250,0.0,1.0,0.0,-4235.492560959386,0.00044147991937100055
4500,0.0,1.0,0.0,-4485.492560959386,0.000416873930543066
4750,0.0,1.0,0.0,-4735.492560959386,0.00039486598072703837
5000,0.0,1.0,0.0,-4985.492560959386,0.00037506523005401696
5250,0.0,1.0,0.0,-5235.492560959386,0.00035715549063184467
5500,0.0,1.0,0.0,-5485.492560959386,0.0003408782153159622
5750,0.0,1.0,0.0,-5735.492560959386,0.0003260199354170278
6000,0.0,1.0,0.0,-5985.492560959386,0.00031240284659364895
6250,0.0,1.0,0.0,-6235.492560959386,0.0002998776593875246
6500,0.0,1.0,0.0,-6485.492560959386,0.0002883181033257116
6750,0.0,1.0,0.0,-6735.492560959384,0.0002776166549640553
7000,0.0,1.0,0.0,-6985.492560959384,0.00026768118325102235
7250,0.0,1.0,0.0,-7235.492560959384,0.00025843229034581256
7500,0.0,1.0,0.0,-7485.492560959384,0.00024980118530358505
7750,0.0,1.0,0.0,-7735.492560959384,0.00024172797007730718
8000,0.0,1.0,0.0,-7985.492560959384,0.0002341602474781058
8250,0.0,1.0,0.0,-8235.492560959385,0.00022705198267959078
8500,0.0,1.0,0.0,-8485.492560959385,0.0002203625659766575
8750,0.0,1.0,0.0,-8735.492560959385,0.0002140560364810713
9000,0.0,1.0,0.0,-8985.492560959385,0.00020810043540998722
9250,0.0,1.0,0.0,-9235.492560959385,0.00020246726441135318
9500,0.0,1.0,0.0,-9485.492560959385,0.00019713102954768694
9750,0.0,1.0,0.0,-9735.492560959385,0.00019206885554073918
10000,0.0,1.0,0.0,-9985.492560959385,0.0001872601579635241
10250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
10500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
10750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
11000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
11250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
11500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
11750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
12000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
12250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
12500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
12750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
13000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
13250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
13500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
13750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
14000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
14250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
14500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
14750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
15000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
15250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
15500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
15750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
16000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
16250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
16500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
16750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
17000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
17250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
17500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
17750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
18000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
18250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
18500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
18750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
19000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
19250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
19500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
19750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
20000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
20250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
20500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
20750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
21000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
21250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
21500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
21750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
22000,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
22250,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
22500,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
22750,0.0,1.0,0.0,-9999.496960959385,1.818736623378763e-05
