t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,8.0,0.0
250,0.4028,0.5152,0.082,16.82329695784102,0.37026938817938815
500,0.3996,0.5616,0.0388,16.692306659845745,0.3393621412119518
750,0.4464,0.5,0.0536,16.996587173328518,0.3707394303495505
1000,0.4612,0.51,0.0288,18.746139590866274,0.2997311434222483
1250,0.4332,0.5052,0.0616,17.56175299343594,0.3381822057926289
1500,0.4688,0.4924,0.0388,18.969126342636482,0.29961324903907993
1750,0.4688,0.4572,0.074,17.08347220275565,0.36852953235624
2000,0.4288,0.5116,0.0596,17.600150562734726,0.33227176587441065
2250,0.4324,0.5268,0.0408,18.09250949810561,0.33587441774554927
2500,0.4184,0.5404,0.0412,16.30774212834779,0.3709227612702368
2750,0.4372,0.5336,0.0292,19.07770891820053,0.29510327633263045
3000,0.3928,0.5412,0.066,17.316735504748227,0.34502799092536135
3250,0.4288,0.4996,0.0716,17.807979659609053,0.34413627960596804
3500,0.4328,0.466,0.1012,16.22517143509679,0.3772667609309695
3750,0.4304,0.5152,0.0544,17.219877600878267,0.3543056107779111
4000,0.4544,0.5088,0.0368,18.89990835193516,0.30796037213784616
4250,0.4152,0.5148,0.07,17.275276894558424,0.3528908550000119
4500,0.4984,0.4744,0.0272,20.085744342061446,0.28374927311431186
4750,0.4904,0.4716,0.038,20.148436271069542,0.29103988381912393
5000,0.458,0.5168,0.0252,19.740585540451423,0.29044866763371247
5250,0.4776,0.4828,0.0396,18.642746983741333,0.3282862789885501
5500,0.4244,0.5256,0.05,17.518096765061777,0.34387198638870153
5750,0.4816,0.4924,0.026,20.692892634951864,0.2667738534385049
6000,0.4484,0.5052,0.0464,17.859694287504077,0.3427873440864905
6250,0.4464,0.5376,0.016,19.74350756281067,0.2739135200406382
6500,0.3932,0.5332,0.0736,16.27029247855204,0.36958054621062336
6750,0.5076,0.4612,0.0312,20.087567739123436,0.3039861987148338
7000,0.4984,0.4364,0.0652,19.440154608109843,0.3298814132324432
7250,0.4736,0.5056,0.0208,18.791463956334784,0.29944711529698775
