t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,5.0,0.0
250,0.1656,0.3992,0.4352,5.6984785782016045,0.6903743407767424
500,0.1196,0.3744,0.506,4.795315706952824,0.7428205226867101
750,0.1832,0.4056,0.4112,6.189209736428015,0.6811966543816993
1000,0.242,0.442,0.316,10.180957930462533,0.5736792989299138
1250,0.2168,0.4056,0.3776,6.906421071504819,0.6502369273921651
1500,0.1436,0.4584,0.398,6.011687209032911,0.6929846656049652
1750,0.1536,0.386,0.4604,5.749405655581522,0.704781531696625
2000,0.2308,0.5356,0.2336,9.641953256222203,0.5491378511411272
2250,0.1776,0.4108,0.4116,6.493893317457994,0.6801576273149474
2500,0.1496,0.3284,0.522,5.518613108429986,0.7331454964903094
2750,0.1188,0.3912,0.49,4.765987953470122,0.7356723057565507
3000,0.1668,0.4388,0.3944,6.4878825677780805,0.6628515570087866
3250,0.126,0.4012,0.4728,4.851998232397511,0.7215301092411408
3500,0.1992,0.5208,0.28,7.66372444565043,0.6171932109701382
3750,0.1292,0.5472,0.3236,6.633434870508804,0.6328596073516216
4000,0.2224,0.4924,0.2852,8.827057242240173,0.6075697043783302
4250,0.1692,0.5848,0.246,9.094073467783593,0.5690771063608061
4500,0.28,0.5124,0.2076,12.35927159266275,0.5105998373767584
4750,0.1396,0.4676,0.3928,6.154067987820583,0.6787312625192606
5000,0.1416,0.4568,0.4016,6.0769611761763915,0.6834319730640811
5250,0.132,0.4816,0.3864,6.355993941875004,0.7077842801572233
5500,0.2328,0.4268,0.3404,7.2183950038306035,0.6302245249008358
5750,0.2396,0.5136,0.2468,8.837734868731303,0.5762907089297432
6000,0.3676,0.392,0.2404,11.89119103516472,0.5253027896507386
6250,0.2144,0.4072,0.3784,7.838521068463744,0.6586623214915792
6500,0.186,0.5432,0.2708,8.56044961334354,0.5874424144306838
6750,0.1616,0.4668,0.3716,6.375521028781537,0.6684734984540472
7000,0.2184,0.5952,0.1864,10.21013205852889,0.5115879241144573
7250,0.1164,0.414,0.4696,4.992428625829485,0.7034404660742158
7500,0.11,0.3208,0.5692,4.051178375127805,0.7769510592581013
7750,0.1916,0.6124,0.196,9.147993912563441,0.5413406289644151
8000,0.1648,0.5568,0.2784,8.227253317351762,0.5980599432304528
8250,0.2248,0.484,0.2912,8.795622518991152,0.6020090661905294
8500,0.1964,0.5144,0.2892,7.549214948177509,0.6035063481379307
8750,0.206,0.538,0.256,8.70140121758746,0.5972386538230464
9000,0.2208,0.4528,0.3264,7.202913973536008,0.6424528307504913
9250,0.1816,0.5304,0.288,8.878144589154259,0.5886336496449287
9500,0.2548,0.3704,0.3748,7.773455593563924,0.6340820972159348
9750,0.21,0.5292,0.2608,9.636193735756036,0.5697286611442439
10000,0.1656,0.548,0.2864,7.876831973105522,0.6111877177590364
10250,0.1568,0.3732,0.47,6.030028346899536,0.6972503726095245
10500,0.2732,0.4452,0.2816,10.74801587910985,0.5680788393627608
10750,0.2312,0.4744,0.2944,8.525973252510763,0.5979672692986725
11000,0.1104,0.3944,0.4952,4.54572495470986,0.7286887591922067
