t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.9308,0.0692,0.0,94.06607999702497,0.01686340429268173,2.24e-05,3.6984304000000052,0.0,9462.8,9462.8,3.698408000000005
500,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.12e-05,3.7417751999999656,0.0,9462.8,9462.8,3.7417639999999657
750,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,7.466666666666667e-06,3.756223466666619,0.0,9462.8,9462.8,3.7562159999999523
1000,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,5.6e-06,3.763447599999986,0.0,9462.8,9462.8,3.7634419999999857
1250,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,4.48e-06,3.7677820800000483,0.0,9462.8,9462.8,3.7677776000000485
1500,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,3.7333333333333333e-06,3.7706717333334234,0.0,9462.8,9462.8,3.77066800000009
1750,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,3.2e-06,3.772735771428691,0.0,9462.8,9462.8,3.772732571428691
2000,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,2.8e-06,3.7742838000001417,0.0,9462.8,9462.8,3.7742810000001414
2250,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,2.488888888888889e-06,3.7754878222223813,0.0,9462.8,9462.8,3.775485333333492
2500,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,2.24e-06,3.7764510400001727,0.0,9462.8,9462.8,3.776448800000173
2750,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,2.0363636363636362e-06,3.7772391272729116,0.0,9462.8,9462.8,3.777237090909275
3000,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.8666666666666667e-06,3.7778958666668605,0.0,9462.8,9462.8,3.777894000000194
3250,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.723076923076923e-06,3.778451569230971,0.0,9462.8,9462.8,3.778449846154048
3500,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.6e-06,3.778927885714494,0.0,9462.8,9462.8,3.7789262857144945
3750,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.4933333333333334e-06,3.7793406933334692,0.0,9462.8,9462.8,3.779339200000136
4000,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.4e-06,3.779701900000053,0.0,9462.8,9462.8,3.779700500000053
4250,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.3176470588235294e-06,3.7800206117646855,0.0,9462.8,9462.8,3.780019294117627
4500,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.2444444444444445e-06,3.7803039111110257,0.0,9462.8,9462.8,3.7803026666665813
4750,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.1789473684210526e-06,3.7805573894735405,0.0,9462.8,9462.8,3.7805562105261723
5000,0.9308,0.0692,0.0,94.06607999999996,0.016863404279204578,1.12e-06,3.780785519999804,0.0,9462.8,9462.8,3.780784399999804
