t,frac_C,frac_D,frac_L,avg_res,gini
0,0.5,0.5,0.0,5.0,0.0
250,0.0,1.0,0.0,-236.73932086692926,0.014342387551737985
500,0.0,1.0,0.0,-486.7393208669293,0.006975822463985862
750,0.0,1.0,0.0,-736.7393208669292,0.004608695358642378
1000,0.0,1.0,0.0,-986.7393208669293,0.003441037583893604
1250,0.0,1.0,0.0,-1236.7393208669293,0.002745450905716045
1500,0.0,1.0,0.0,-1486.7393208669293,0.0022837945031472426
1750,0.0,1.0,0.0,-1736.7393208669293,0.0019550470515712574
2000,0.0,1.0,0.0,-1986.739320866929,0.0017090350268635876
2250,0.0,1.0,0.0,-2236.739320866929,0.0015180164523118096
2500,0.0,1.0,0.0,-2486.7393208669296,0.001365405316157156
2750,0.0,1.0,0.0,-2736.7393208669296,0.0012406761077752787
3000,0.0,1.0,0.0,-2986.7393208669296,0.0011368273973180868
3250,0.0,1.0,0.0,-3236.7393208669296,0.0010490208669937976
3500,0.0,1.0,0.0,-3486.739320866929,0.0009738058329420855
3750,0.0,1.0,0.0,-3736.739320866929,0.0009086550591441851
4000,0.0,1.0,0.0,-3986.739320866929,0.0008516752201070422
4250,0.0,1.0,0.0,-4236.739320866929,0.000801419873034329
4500,0.0,1.0,0.0,-4486.739320866929,0.0007567649568624063
4750,0.0,1.0,0.0,-4736.739320866929,0.0007168237174570309
5000,0.0,1.0,0.0,-4986.739320866929,0.0006808872231200653
5250,0.0,1.0,0.0,-5236.739320866929,0.0006483819187025377
5500,0.0,1.0,0.0,-5486.739320866929,0.0006188387838466207
5750,0.0,1.0,0.0,-5736.739320866929,0.0005918705555014855
6000,0.0,1.0,0.0,-5986.739320866929,0.0005671546574232735
6250,0.0,1.0,0.0,-6236.739320866929,0.0005444202353060269
6500,0.0,1.0,0.0,-6486.739320866929,0.0005234381899217341
6750,0.0,1.0,0.0,-6736.739320866929,0.0005040134294778946
7000,0.0,1.0,0.0,-6986.739320866929,0.00048597878533521914
7250,0.0,1.0,0.0,-7236.739320866929,0.00046919018884902564
7500,0.0,1.0,0.0,-7486.739320866929,0.0004535228145509348
7750,0.0,1.0,0.0,-7736.739320866929,0.0004388679710909862
8000,0.0,1.0,0.0,-7986.739320866929,0.00042513057609599883
8250,0.0,1.0,0.0,-8236.73932086693,0.00041222709088375217
8500,0.0,1.0,0.0,-8486.73932086693,0.00040008382020881284
8750,0.0,1.0,0.0,-8736.73932086693,0.00038863550392297466
9000,0.0,1.0,0.0,-8986.73932086693,0.00037782414370524325
9250,0.0,1.0,0.0,-9236.73932086693,0.000367598020325002
9500,0.0,1.0,0.0,-9486.739320866931,0.0003579108662910432
9750,0.0,1.0,0.0,-9736.739320866931,0.00034872116595871533
10000,0.0,1.0,0.0,-9986.739320866931,0.0003399915607603981
10250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
10500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
10750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
11000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
11250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
11500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
11750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
12000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
12250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
12500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
12750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
13000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
13250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
13500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
13750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
14000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
14250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
14500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
14750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
15000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
15250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
15500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
15750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
16000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
16250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
16500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
16750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
17000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
17250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
17500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
17750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
18000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
18250,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
18500,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
18750,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
19000,0.0,1.0,0.0,-9999.575720866931,1.7537757866204395e-05
