t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat,per_sigma,per_output,per_net,cum_net_hat
0,0.5,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.6232,0.3768,0.0,86.25229232990944,0.0461462032568538,0.0,2.4723536,0.0,7267.0,7267.0,2.4723536
500,0.6776,0.3224,0.0,87.26131949871956,0.04462404068638034,0.0,2.6135016,0.0,7513.0,7513.0,2.6135016
750,0.6172,0.3828,0.0,85.14241870524882,0.049821863220261435,0.0,2.7144005333333334,0.0,7086.0,7086.0,2.7144005333333334
1000,0.6028,0.3972,0.0,84.74004902953843,0.05082192215128252,0.0,2.7388184,0.0,6761.0,6761.0,2.7388184
1250,0.608,0.392,0.0,84.2702392240196,0.04565861947240489,0.0,2.70593632,0.0,6818.0,6818.0,2.70593632
1500,0.626,0.374,0.0,85.4586889644242,0.04660487315307777,0.0,2.6914274666666667,0.0,6959.0,6959.0,2.6914274666666667
1750,0.6472,0.3528,0.0,85.16695449486727,0.045894301188433746,0.0,2.706756114285714,0.0,7072.0,7072.0,2.706756114285714
2000,0.608,0.392,0.0,85.69676451316263,0.04852341246388037,0.0,2.7287438,0.0,6952.0,6952.0,2.7287438
2250,0.6064,0.3936,0.0,84.82663758275245,0.04857348367970261,0.0,2.710289422222222,0.0,6820.0,6820.0,2.710289422222222
2500,0.6856,0.3144,0.0,85.99382593382377,0.047470243418859984,0.0,2.72818864,0.0,7546.0,7546.0,2.72818864
2750,0.644,0.356,0.0,86.34165453987022,0.04562245885377042,0.0,2.7292916363636364,0.0,7324.0,7324.0,2.7292916363636364
3000,0.6752,0.3248,0.0,87.61030675909872,0.04432815765449646,0.0,2.7458388,0.0,7471.0,7471.0,2.7458388
3250,0.674,0.326,0.0,86.85902140876834,0.04715670385646448,0.0,2.7660360615384616,0.0,7561.0,7561.0,2.7660360615384616
3500,0.66,0.34,0.0,86.45202603012231,0.04707539101654394,0.0,2.773753485714286,0.0,7366.0,7366.0,2.773753485714286
3750,0.6368,0.3632,0.0,84.58994098605476,0.047203664408540326,0.0,2.77493856,0.0,7040.0,7040.0,2.77493856
4000,0.6588,0.3412,0.0,86.58741080765981,0.047980690098184356,0.0,2.7873905,0.0,7328.0,7328.0,2.7873905
4250,0.52,0.48,0.0,80.96962379968902,0.04765233534171186,0.0,2.780915294117647,0.0,6027.0,6027.0,2.780915294117647
4500,0.6868,0.3132,0.0,87.12501728594899,0.04461483021025049,0.0,2.7846971555555555,0.0,7654.0,7654.0,2.7846971555555555
4750,0.618,0.382,0.0,85.18235983904293,0.048019300803062305,0.0,2.7860113684210526,0.0,6927.0,6927.0,2.7860113684210526
5000,0.67,0.33,0.0,86.62397634021384,0.04620392254307081,0.0,2.79276856,0.0,7485.0,7485.0,2.79276856
5250,0.6236,0.3764,0.0,85.84572163019163,0.048224813783843135,0.0,2.8023086476190477,0.0,6872.0,6872.0,2.8023086476190477
5500,0.6092,0.3908,0.0,82.71141806472943,0.04801684704038238,0.0,2.7925985454545454,0.0,6764.0,6764.0,2.7925985454545454
5750,0.6168,0.3832,0.0,84.71707976237477,0.043636604672360406,0.0,2.791829704347826,0.0,6859.0,6859.0,2.791829704347826
6000,0.6456,0.3544,0.0,85.45819401949457,0.04568069944765054,0.0,2.795999,0.0,7204.0,7204.0,2.795999
6250,0.4896,0.5104,0.0,81.13617274476908,0.046060968887803165,0.0,2.79651936,0.0,5787.0,5787.0,2.79651936
6500,0.6588,0.3412,0.0,85.20398409174632,0.047124435804040805,0.0,2.794679630769231,0.0,7285.0,7285.0,2.794679630769231
6750,0.5576,0.4424,0.0,80.6042731705724,0.04998924713567443,0.0,2.7935630814814814,0.0,6312.0,6312.0,2.7935630814814814
7000,0.646,0.354,0.0,85.9143181292802,0.046188560427200404,0.0,2.7933274285714287,0.0,7226.0,7226.0,2.7933274285714287
7250,0.55,0.45,0.0,83.96222232308014,0.047918432692569096,0.0,2.7901612689655173,0.0,6370.0,6370.0,2.7901612689655173
7500,0.624,0.376,0.0,85.2803727104196,0.04750724510895471,0.0,2.79185072,0.0,6863.0,6863.0,2.79185072
7750,0.6416,0.3584,0.0,86.07394226957015,0.04466819952040766,0.0,2.7880302451612904,0.0,7324.0,7324.0,2.7880302451612904
8000,0.718,0.282,0.0,87.69959618188818,0.04441863282055537,0.0,2.7913925,0.0,7844.0,7844.0,2.7913925
8250,0.6592,0.3408,0.0,86.26486648719417,0.04789122291800439,0.0,2.7944379636363634,0.0,7283.0,7283.0,2.7944379636363634
8500,0.67,0.33,0.0,86.55033793190717,0.046340174908383144,0.0,2.795358211764706,0.0,7401.0,7401.0,2.795358211764706
8750,0.646,0.354,0.0,86.09552090152819,0.04769482475262572,0.0,2.798643702857143,0.0,7189.0,7189.0,2.798643702857143
9000,0.6248,0.3752,0.0,85.95950433777945,0.050273432589933296,0.0,2.799184,0.0,6926.0,6926.0,2.799184
9250,0.5968,0.4032,0.0,85.43417987932528,0.05044577526127192,0.0,2.800196281081081,0.0,6817.0,6817.0,2.800196281081081
9500,0.6372,0.3628,0.0,86.27544739837926,0.04658571875780993,0.0,2.8007508210526315,0.0,7143.0,7143.0,2.8007508210526315
9750,0.6396,0.3604,0.0,85.02222885113257,0.04628145401429675,0.0,2.8011050256410255,0.0,7105.0,7105.0,2.8011050256410255
10000,0.6276,0.3724,0.0,85.38535439453052,0.04792312730976736,0.0,2.80185764,0.0,7036.0,7036.0,2.80185764
10250,0.6688,0.3312,0.0,86.52228228323662,0.04875787133743636,0.0,2.806150282926829,0.0,7421.0,7421.0,2.806150282926829
10500,0.5844,0.4156,0.0,84.59380571374844,0.04962435819663483,0.0,2.8083832761904763,0.0,6828.0,6828.0,2.8083832761904763
10750,0.4432,0.5568,0.0,78.82741886823543,0.05009179295447573,0.0,2.807802418604651,0.0,4999.0,4999.0,2.807802418604651
11000,0.5764,0.4236,0.0,84.3040880993376,0.046678516175299715,0.0,2.8060130181818184,0.0,6536.0,6536.0,2.8060130181818184
11250,0.6532,0.3468,0.0,86.80538702379206,0.048314180723793045,0.0,2.807286506666667,0.0,7279.0,7279.0,2.807286506666667
11500,0.6564,0.3436,0.0,85.6673949878524,0.048327042570311854,0.0,2.809115060869565,0.0,7298.0,7298.0,2.809115060869565
11750,0.678,0.322,0.0,86.4910819725647,0.04685875413231441,0.0,2.8116653617021274,0.0,7458.0,7458.0,2.8116653617021274
12000,0.5228,0.4772,0.0,83.08841456236965,0.05081285120536276,0.0,2.8129808,0.0,5991.0,5991.0,2.8129808
12250,0.6852,0.3148,0.0,86.45869903667804,0.04732612269661109,0.0,2.809595330612245,0.0,7485.0,7485.0,2.809595330612245
12500,0.4268,0.5732,0.0,80.58065762917926,0.048476268691578936,0.0,2.810615136,0.0,5264.0,5264.0,2.810615136
12750,0.6776,0.3224,0.0,87.4894480187875,0.04618008776961507,0.0,2.8080469647058823,0.0,7586.0,7586.0,2.8080469647058823
13000,0.6208,0.3792,0.0,84.84151034932707,0.047688726271257274,0.0,2.811374584615385,0.0,6938.0,6938.0,2.811374584615385
13250,0.7048,0.2952,0.0,88.02350926105056,0.04622014986356631,0.0,2.8148813283018868,0.0,7760.0,7760.0,2.8148813283018868
13500,0.5764,0.4236,0.0,82.85292189752553,0.04579076829665997,0.0,2.8110064296296295,0.0,6449.0,6449.0,2.8110064296296295
13750,0.6364,0.3636,0.0,85.7163320091998,0.04861385911148012,0.0,2.81203488,0.0,7058.0,7058.0,2.81203488
14000,0.6264,0.3736,0.0,85.92803572207974,0.048643102849050115,0.0,2.8138686857142856,0.0,7103.0,7103.0,2.8138686857142856
14250,0.6464,0.3536,0.0,86.25133440187787,0.04784371307771742,0.0,2.8142959719298246,0.0,7254.0,7254.0,2.8142959719298246
14500,0.6812,0.3188,0.0,87.40699150478821,0.04854854307324703,0.0,2.8174444965517242,0.0,7538.0,7538.0,2.8174444965517242
14750,0.6936,0.3064,0.0,87.00204039239286,0.04813382222330597,0.0,2.8199712,0.0,7613.0,7613.0,2.8199712
15000,0.5728,0.4272,0.0,84.46864113131053,0.05086368763724804,0.0,2.82187344,0.0,6556.0,6556.0,2.82187344
15250,0.5776,0.4224,0.0,83.706894848511,0.04935167721077663,0.0,2.82085468852459,0.0,6471.0,6471.0,2.82085468852459
15500,0.6532,0.3468,0.0,87.02209611791072,0.04560553585114475,0.0,2.8194201032258066,0.0,7296.0,7296.0,2.8194201032258066
15750,0.5776,0.4224,0.0,85.41167161573993,0.04648409266848044,0.0,2.8198964063492062,0.0,6549.0,6549.0,2.8198964063492062
16000,0.6344,0.3656,0.0,86.84324852225159,0.04524967298330089,0.0,2.821847225,0.0,7205.0,7205.0,2.821847225
16250,0.6948,0.3052,0.0,86.83052721090174,0.046178303306048954,0.0,2.824335556923077,0.0,7566.0,7566.0,2.824335556923077
16500,0.5292,0.4708,0.0,81.33968020349185,0.0481574083942604,0.0,2.825005890909091,0.0,6073.0,6073.0,2.825005890909091
16750,0.6396,0.3604,0.0,86.50196235129826,0.04721280421603038,0.0,2.8262279641791044,0.0,7098.0,7098.0,2.8262279641791044
17000,0.4556,0.5444,0.0,82.55378220855646,0.05146742023836263,0.0,2.8280673411764705,0.0,5682.0,5682.0,2.8280673411764705
17250,0.6704,0.3296,0.0,87.0153452048872,0.045532461388822575,0.0,2.824486956521739,0.0,7485.0,7485.0,2.824486956521739
17500,0.6288,0.3712,0.0,86.09194724748637,0.04692481385697856,0.0,2.825121257142857,0.0,6948.0,6948.0,2.825121257142857
17750,0.6288,0.3712,0.0,84.61302027147458,0.04704798250017863,0.0,2.8255238535211267,0.0,6939.0,6939.0,2.8255238535211267
18000,0.6288,0.3712,0.0,85.30733273581288,0.04966090925904047,0.0,2.8249824666666665,0.0,7025.0,7025.0,2.8249824666666665
18250,0.6704,0.3296,0.0,85.43135318806947,0.04886912580720238,0.0,2.823103868493151,0.0,7373.0,7373.0,2.823103868493151
18500,0.6352,0.3648,0.0,86.32227091590063,0.04732085751442374,0.0,2.8238108972972973,0.0,7099.0,7099.0,2.8238108972972973
18750,0.6176,0.3824,0.0,86.04467310955471,0.050234969807486964,0.0,2.825213888,0.0,7013.0,7013.0,2.825213888
19000,0.6412,0.3588,0.0,85.01249470825627,0.046198623186440586,0.0,2.8221565263157893,0.0,7077.0,7077.0,2.8221565263157893
19250,0.6412,0.3588,0.0,84.74345703765668,0.048179904866509055,0.0,2.822921890909091,0.0,7093.0,7093.0,2.822921890909091
19500,0.6904,0.3096,0.0,87.61679104239971,0.04455318130963184,0.0,2.823471241025641,0.0,7696.0,7696.0,2.823471241025641
19750,0.6692,0.3308,0.0,86.47804678803068,0.04648978155031128,0.0,2.824181346835443,0.0,7269.0,7269.0,2.824181346835443
20000,0.5844,0.4156,0.0,84.72063612194331,0.04835023041260246,0.0,2.8255175,0.0,6602.0,6602.0,2.8255175
20250,0.5996,0.4004,0.0,85.14379580406182,0.050066578339658795,0.0,2.8261774024691357,0.0,6785.0,6785.0,2.8261774024691357
20500,0.466,0.534,0.0,79.59575208927515,0.05053318721400473,0.0,2.826163024390244,0.0,5476.0,5476.0,2.826163024390244
20750,0.614,0.386,0.0,83.92997225383239,0.05027159854916749,0.0,2.8259439807228914,0.0,6866.0,6866.0,2.8259439807228914
21000,0.6756,0.3244,0.0,87.03642247050992,0.04662416138822234,0.0,2.8263394095238095,0.0,7473.0,7473.0,2.8263394095238095
21250,0.6608,0.3392,0.0,85.30615659769639,0.04751445218591028,0.0,2.8270719811764704,0.0,7346.0,7346.0,2.8270719811764704
21500,0.4712,0.5288,0.0,81.13328936694096,0.04742665930057831,0.0,2.827154958139535,0.0,5583.0,5583.0,2.827154958139535
21750,0.664,0.336,0.0,85.5709936755133,0.045168193826444984,0.0,2.8257576091954024,0.0,7283.0,7283.0,2.8257576091954024
22000,0.456,0.544,0.0,80.29405480751622,0.048295268376477164,0.0,2.824901890909091,0.0,5483.0,5483.0,2.824901890909091
22250,0.676,0.324,0.0,86.21123255257653,0.04670317101916222,0.0,2.824179631460674,0.0,7420.0,7420.0,2.824179631460674
22500,0.6584,0.3416,0.0,85.15406685837911,0.04754308619190936,0.0,2.824135537777778,0.0,7275.0,7275.0,2.824135537777778
